Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,S223,pk,     33.17,    119.27,     16.69,     30.00,      2.00,    398.04,    942.85,    942.85,     59.44,    883.41,     59.40,    883.45
      4.00,S227,pk,     33.90,    112.41,     18.09,     30.00,      2.00,    406.80,    316.97,    316.90,     29.12,    287.85,     29.13,    287.77
      4.00,S236,pk,     15.93,     46.30,     20.64,     30.00,      2.00,    191.16,     60.76,     60.77,      4.38,     56.38,      4.38,     56.39
      4.00,S240,pk,     24.30,     82.38,     17.70,     15.00,      4.00,    583.20,    262.20,    262.21,     10.78,    251.42,     10.79,    251.42
      4.00,S248,pk,     45.08,    153.14,     17.66,     30.00,      2.00,    540.96,    270.60,    270.62,     14.51,    256.09,     14.50,    256.12
      4.00,S31,pk,     26.50,     94.99,     16.74,     30.00,      2.00,    318.00,    234.56,    234.55,     11.91,    222.65,     11.90,    222.65
      4.00,S455,pk,     46.84,    152.49,     18.43,     30.00,      2.00,    562.08,   1283.87,   1283.82,    195.07,   1088.80,    195.03,   1088.79
      4.00,S470,pk,     39.74,    125.08,     19.06,     30.00,      2.00,    476.88,    685.83,    685.77,     69.64,    616.19,     69.54,    616.23
      4.00,S509,pk,     10.34,     36.91,     16.81,     30.00,      2.00,    124.08,     97.63,     97.66,      9.88,     87.75,      9.89,     87.77
      4.00,SF11,pk,      7.80,     30.12,     15.54,     60.00,      1.00,     46.80,     49.46,     49.49,         0,     49.46,         0,     49.49
      4.00,SF202,pk,     10.44,     37.38,     16.76,     30.00,      2.00,    125.28,     41.15,     41.11,      0.87,     40.28,      0.85,     40.26
      4.00,SF232,pk,     15.34,     50.74,     18.14,     30.00,      2.00,    184.08,     47.59,     47.52,      0.84,     46.75,      0.80,     46.72
      4.00,SF453,pk,     39.47,     75.68,     31.29,     30.00,      2.00,    473.64,     21.02,     21.02,      4.78,     16.24,      4.77,     16.25
      4.00,SF514,pk,     12.18,     44.22,     16.53,     30.00,      2.00,    146.16,     80.94,     80.92,     15.13,     65.81,     15.12,     65.80
      4.00,SF525,pk,      8.90,     31.30,     17.06,     30.00,      2.00,    106.80,     38.32,     38.33,      8.46,     29.86,      8.48,     29.85
      4.00,SF570,pk,     14.72,     43.52,     20.29,     30.00,      2.00,    176.64,     75.90,     75.92,      0.33,     75.57,      0.33,     75.59
      4.00,SF578,pk,     13.44,     40.42,     19.95,     30.00,      2.00,    161.28,     34.18,     34.18,      0.13,     34.05,      0.12,     34.06
      4.00,SF590,pk,     11.44,     39.39,     17.43,     30.00,      2.00,    137.28,     62.64,     62.66,      4.75,     57.89,      4.78,     57.88
      4.00,SF94,pk,      7.22,     21.94,     19.74,     30.00,      2.00,     86.64,     53.94,     53.94,      4.61,     49.33,      4.60,     49.34
      4.00,M805_Santaquin,pk,     61.64,    110.05,     33.61,     40.00,      1.50,    554.76,    454.24,    454.26,    234.82,    219.42,    234.81,    219.45
      4.00,M806_EglMtn,pk,     27.94,     67.73,     24.75,     45.00,      1.33,    223.52,    309.66,    309.63,    106.21,    203.45,    106.19,    203.44
      4.00,M807_NoCnty,pk,     22.21,     65.02,     20.50,     40.00,      1.50,    199.89,    577.53,    577.51,    212.69,    364.84,    212.68,    364.83
      4.00,M822_Psn,pk,     54.34,    148.09,     22.02,     60.00,      1.00,    326.04,    453.57,    453.56,    112.97,    340.60,    112.95,    340.61
      4.00,MF809,pk,     21.39,     64.92,     19.77,     30.00,      2.00,    256.68,     55.48,     55.50,      7.24,     48.24,      7.23,     48.27
      4.00,O606,pk,      4.96,     13.82,     21.53,    360.00,      0.17,      4.96,      0.01,      0.01,         0,      0.01,         0,      0.01
      4.00,S513,pk,     32.36,    110.76,     17.53,     30.00,      2.00,    388.32,    207.39,    207.32,     27.14,    180.25,     27.13,    180.19
      4.00,S551,pk,     15.23,     44.32,     20.62,     30.00,      2.00,    182.76,     27.32,     27.31,      6.37,     20.95,      6.35,     20.96
      4.00,M821_5YR2023,ok,     37.33,     95.77,     23.39,     30.00,      2.00,    746.60,    174.24,    174.34,     19.69,    154.55,     19.69,    154.65
      4.00,M823_5RY2023,ok,     19.12,     60.44,     18.98,     30.00,      2.00,    382.40,    181.44,    181.44,     10.77,    170.67,     10.78,    170.66
      4.00,M831_WPr,ok,     23.68,     84.57,     16.80,     30.00,      2.00,    473.60,    310.52,    310.46,     10.53,    299.99,     10.51,    299.95
      4.00,M833_CntPr,ok,      9.75,     30.24,     19.35,     60.00,      1.00,     97.50,     38.85,     38.89,      1.35,     37.50,      1.38,     37.51
      4.00,M834_EstPr,ok,     25.64,     84.76,     18.15,     30.00,      2.00,    512.80,    224.03,    224.02,      7.81,    216.22,      7.80,    216.22
      4.00,M841_UVU,ok,      5.32,     20.63,     15.47,     30.00,      2.00,    106.40,     31.18,     31.19,      0.92,     30.26,      0.92,     30.27
      4.00,M850_StateStree,ok,     45.58,    161.87,     16.90,     15.00,      4.00,   1823.20,   1244.17,   1244.02,     91.59,   1152.58,     91.58,   1152.44
      4.00,M862_Orem,ok,     28.28,    100.60,     16.87,     30.00,      2.00,    565.60,    175.56,    175.56,      9.03,    166.53,      9.05,    166.51
      4.00,M864_Thanksgivi,ok,      7.25,     26.25,     16.57,     30.00,      2.00,    145.00,     50.33,     50.30,      3.84,     46.49,      3.83,     46.47
      4.00,M871_SLtoUtahCn,ok,     26.46,     80.12,     19.82,     60.00,      1.00,    264.60,     27.12,     27.08,      1.90,     25.22,      1.89,     25.19
      4.00,O600,ok,     46.04,    159.75,     17.29,     15.00,      4.00,   1841.60,    674.20,    674.22,     41.19,    633.01,     41.19,    633.03
      4.00,O601,ok,      3.70,     17.95,     12.37,     20.00,      3.00,    111.00,     12.69,     12.70,      0.29,     12.40,      0.29,     12.41
