Purpose,TAZID,All,Walk,Bike,NonM
HBW,74.0,0.0,0.0,0.0,0.0
HBO,74.0,0.0,0.0,0.0,0.0
NHB,74.0,0.0,0.0,0.0,0.0
HBC,74.0,0.0,0.0,0.0,0.0
HBSch,74.0,0.0,0.0,0.0,0.0
All,75.0,1064.04,113.31,13.65,126.95
HBW,75.0,169.57,9.67,2.8,12.47
HBO,75.0,591.92,89.14,9.47,98.62
NHB,75.0,219.68,14.49,1.37,15.87
HBC,75.0,9.0,0.0,0.0,0.0
HBSch,75.0,73.86,0.0,0.0,0.0
All,76.0,604.2,59.87,9.02,107.36
HBW,76.0,107.24,4.31,1.86,6.18
HBO,76.0,403.09,52.62,6.73,59.35
NHB,76.0,46.48,2.54,0.31,2.85
HBC,76.0,0.0,0.0,0.0,0.0
HBSch,76.0,47.4,0.39,0.11,38.98
All,77.0,1236.34,154.24,15.54,213.08
HBW,77.0,173.09,19.86,3.4,23.27
HBO,77.0,565.09,99.61,9.22,108.83
NHB,77.0,449.19,34.33,2.79,37.12
HBC,77.0,0.0,0.0,0.0,0.0
HBSch,77.0,48.97,0.44,0.13,43.87
All,78.0,3724.22,493.5,52.76,739.76
HBW,78.0,608.02,43.08,11.15,54.23
HBO,78.0,2274.62,401.99,37.49,439.48
NHB,78.0,571.76,46.48,3.53,50.02
HBC,78.0,21.0,0.0,0.0,0.0
HBSch,78.0,248.82,1.95,0.59,196.04
All,79.0,1026.99,112.65,9.71,135.83
HBW,79.0,69.55,6.66,1.3,7.96
HBO,79.0,237.28,44.43,4.05,48.48
NHB,79.0,702.89,61.43,4.31,65.74
HBC,79.0,0.0,0.0,0.0,0.0
HBSch,79.0,17.27,0.14,0.04,13.65
All,80.0,1249.69,147.14,15.68,190.39
HBW,80.0,160.72,13.97,3.2,17.17
HBO,80.0,492.33,89.23,8.99,98.22
NHB,80.0,557.25,43.66,3.4,47.06
HBC,80.0,9.0,0.0,0.0,0.0
HBSch,80.0,30.39,0.28,0.08,27.94
All,81.0,445.63,36.6,7.17,56.0
HBW,81.0,76.68,4.21,1.59,5.81
HBO,81.0,234.16,28.07,4.81,32.89
NHB,81.0,118.35,4.19,0.73,4.92
HBC,81.0,0.0,0.0,0.0,0.0
HBSch,81.0,16.44,0.12,0.04,12.4
All,82.0,2607.05,309.63,38.09,418.59
HBW,82.0,435.21,35.34,8.89,44.23
HBO,82.0,1308.59,219.81,24.31,244.12
NHB,82.0,764.97,53.77,4.67,58.44
HBC,82.0,0.0,0.0,0.0,0.0
HBSch,82.0,98.27,0.72,0.22,71.8
All,83.0,688.07,51.76,4.2,55.96
HBW,83.0,0.0,0.0,0.0,0.0
HBO,83.0,0.0,0.0,0.0,0.0
NHB,83.0,688.07,51.76,4.2,55.96
HBC,83.0,0.0,0.0,0.0,0.0
HBSch,83.0,0.0,0.0,0.0,0.0
All,84.0,405.51,34.32,2.48,36.8
HBW,84.0,0.0,0.0,0.0,0.0
HBO,84.0,0.0,0.0,0.0,0.0
NHB,84.0,405.51,34.32,2.48,36.8
HBC,84.0,0.0,0.0,0.0,0.0
HBSch,84.0,0.0,0.0,0.0,0.0
All,85.0,431.46,39.55,5.03,62.51
HBW,85.0,67.19,2.61,0.84,3.45
HBO,85.0,263.06,33.06,3.76,36.82
NHB,85.0,61.76,3.7,0.38,4.08
HBC,85.0,0.0,0.0,0.0,0.0
HBSch,85.0,39.45,0.18,0.05,18.16
All,86.0,81.43,1.06,0.42,1.47
HBW,86.0,0.0,0.0,0.0,0.0
HBO,86.0,0.0,0.0,0.0,0.0
NHB,86.0,81.43,1.06,0.42,1.47
HBC,86.0,0.0,0.0,0.0,0.0
HBSch,86.0,0.0,0.0,0.0,0.0
All,87.0,0.0,0.0,0.0,0.0
HBW,87.0,0.0,0.0,0.0,0.0
HBO,87.0,0.0,0.0,0.0,0.0
NHB,87.0,0.0,0.0,0.0,0.0
HBC,87.0,0.0,0.0,0.0,0.0
HBSch,87.0,0.0,0.0,0.0,0.0
All,88.0,1.37,0.06,0.01,0.07
HBW,88.0,0.0,0.0,0.0,0.0
HBO,88.0,0.0,0.0,0.0,0.0
NHB,88.0,1.37,0.06,0.01,0.07
HBC,88.0,0.0,0.0,0.0,0.0
HBSch,88.0,0.0,0.0,0.0,0.0
All,89.0,1354.17,91.05,9.06,106.88
HBW,89.0,46.06,1.92,0.49,2.41
HBO,89.0,154.89,14.57,2.06,16.62
NHB,89.0,1136.99,74.5,6.49,80.99
HBC,89.0,0.0,0.0,0.0,0.0
HBSch,89.0,16.23,0.07,0.02,6.86
All,90.0,2470.3,202.11,18.07,247.48
HBW,90.0,84.65,5.96,1.19,7.16
HBO,90.0,333.78,38.47,4.67,43.14
NHB,90.0,2002.22,157.4,12.13,169.53
HBC,90.0,0.0,0.0,0.0,0.0
HBSch,90.0,49.66,0.28,0.08,27.65
All,91.0,1658.18,132.82,19.37,207.32
HBW,91.0,311.69,9.52,3.35,12.87
HBO,91.0,1046.38,115.85,15.05,130.9
NHB,91.0,140.44,6.9,0.81,7.71
HBC,91.0,25.0,0.0,0.0,0.0
HBSch,91.0,134.67,0.56,0.15,55.84
All,92.0,1776.87,149.76,21.64,203.48
HBW,92.0,307.05,10.33,3.86,14.19
HBO,92.0,1152.66,131.93,16.9,148.83
NHB,92.0,130.19,7.17,0.8,7.97
HBC,92.0,3.0,0.0,0.0,0.0
HBSch,92.0,183.97,0.32,0.09,32.5
All,93.0,0.0,0.0,0.0,0.0
HBW,93.0,0.0,0.0,0.0,0.0
HBO,93.0,0.0,0.0,0.0,0.0
NHB,93.0,0.0,0.0,0.0,0.0
HBC,93.0,0.0,0.0,0.0,0.0
HBSch,93.0,0.0,0.0,0.0,0.0
All,94.0,184.48,7.52,1.95,9.48
HBW,94.0,33.25,0.18,0.25,0.43
HBO,94.0,120.83,6.95,1.64,8.59
NHB,94.0,12.03,0.39,0.07,0.46
HBC,94.0,0.0,0.0,0.0,0.0
HBSch,94.0,18.37,0.0,0.0,0.0
All,95.0,2661.99,199.49,29.5,343.79
HBW,95.0,411.77,9.64,3.99,13.62
HBO,95.0,1649.42,171.13,23.34,194.47
NHB,95.0,339.23,17.57,1.86,19.42
HBC,95.0,6.0,0.0,0.0,0.0
HBSch,95.0,255.57,1.16,0.31,116.27
All,96.0,1721.4,139.79,21.13,199.99
HBW,96.0,390.92,6.51,3.89,10.39
HBO,96.0,1069.9,123.98,16.16,140.15
NHB,96.0,170.04,8.91,0.97,9.88
HBC,96.0,0.0,0.0,0.0,0.0
HBSch,96.0,90.54,0.39,0.11,39.57
All,97.0,0.0,0.0,0.0,0.0
HBW,97.0,0.0,0.0,0.0,0.0
HBO,97.0,0.0,0.0,0.0,0.0
NHB,97.0,0.0,0.0,0.0,0.0
HBC,97.0,0.0,0.0,0.0,0.0
