Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn,scenario_id
All,Pk,A,17,4.4,4.34,0.03,4.34,0.07,0.04,0.0,Shorten00
HBW,Pk,P,17,2.95,2.89,0.03,2.89,0.06,0.03,0.0,Shorten00
HBW,Pk,A,17,0.81,0.81,0.0,0.81,0.0,0.0,0.0,Shorten00
HBO,Pk,P,17,6.48,6.28,0.05,6.28,0.2,0.15,0.0,Shorten00
HBO,Pk,A,17,3.11,3.05,0.03,3.05,0.06,0.03,0.0,Shorten00
NHB,Pk,P,17,0.41,0.41,0.0,0.41,0.01,0.0,0.0,Shorten00
NHB,Pk,A,17,0.48,0.47,0.0,0.47,0.01,0.0,0.0,Shorten00
HBC,Pk,P,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,17,0.81,0.69,0.0,0.69,0.12,0.0,0.0,Shorten00
HBSch,Pk,A,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,18,64.34,62.12,0.28,62.13,2.22,1.94,0.0,Shorten00
All,Pk,A,18,938.88,928.09,7.66,928.09,10.79,3.13,0.0,Shorten00
HBW,Pk,P,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBW,Pk,A,18,771.71,764.95,6.4,764.95,6.77,0.37,0.0,Shorten00
HBO,Pk,P,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBO,Pk,A,18,107.23,105.46,0.98,105.46,1.77,0.79,0.0,Shorten00
NHB,Pk,P,18,64.34,62.12,0.28,62.13,2.22,1.94,0.0,Shorten00
NHB,Pk,A,18,59.94,57.68,0.29,57.68,2.26,1.97,0.0,Shorten00
HBC,Pk,P,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,A,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,19,922.97,843.22,8.84,844.27,78.71,44.91,1.04,Shorten00
All,Pk,A,19,462.6,422.67,3.62,422.82,39.78,36.16,0.15,Shorten00
HBW,Pk,P,19,210.44,203.78,3.28,204.44,6.0,2.72,0.67,Shorten00
HBW,Pk,A,19,58.63,57.36,0.24,57.38,1.25,1.02,0.02,Shorten00
HBO,Pk,P,19,564.54,520.04,5.1,520.4,44.14,39.04,0.36,Shorten00
HBO,Pk,A,19,327.05,291.87,2.96,291.99,35.06,32.1,0.11,Shorten00
NHB,Pk,P,19,81.38,78.03,0.43,78.05,3.32,2.89,0.02,Shorten00
NHB,Pk,A,19,76.92,73.45,0.42,73.46,3.46,3.04,0.01,Shorten00
HBC,Pk,P,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,19,66.62,41.37,0.03,41.37,25.24,0.25,0.0,Shorten00
HBSch,Pk,A,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,20,505.8,463.43,5.14,464.35,41.46,28.87,0.91,Shorten00
All,Pk,A,20,326.76,294.54,2.62,294.6,32.16,29.54,0.07,Shorten00
HBW,Pk,P,20,125.53,121.32,2.06,121.93,3.6,1.54,0.61,Shorten00
HBW,Pk,A,20,35.44,34.62,0.16,34.63,0.81,0.66,0.0,Shorten00
HBO,Pk,P,20,301.29,273.42,2.77,273.72,27.58,24.81,0.29,Shorten00
HBO,Pk,A,20,237.68,209.12,2.17,209.17,28.51,26.34,0.05,Shorten00
NHB,Pk,P,20,56.64,53.88,0.3,53.89,2.75,2.45,0.01,Shorten00
NHB,Pk,A,20,53.64,50.8,0.3,50.8,2.84,2.54,0.01,Shorten00
