Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,O604,ok,14.0,47.43,17.71,30.0,2.0,280.0,52.0,52.01,7.98,44.02,7.95,44.06,Closer04
4.0,O607,ok,20.92,67.09,18.71,30.0,2.0,418.4,166.25,166.18,13.35,152.9,13.37,152.81,Closer04
4.0,O609,ok,42.5,135.11,18.87,30.0,2.0,850.0,151.77,151.68,18.98,132.79,18.96,132.72,Closer04
4.0,O612,ok,26.2,84.23,18.66,15.0,4.0,1048.0,594.72,594.73,20.05,574.67,20.03,574.7,Closer04
4.0,O614,ok,17.94,56.13,19.18,30.0,2.0,358.8,76.9,76.85,0.97,75.93,0.97,75.88,Closer04
4.0,O615,ok,15.08,45.88,19.72,30.0,2.0,301.6,80.13,80.14,5.49,74.64,5.49,74.65,Closer04
4.0,O626,ok,28.38,82.98,20.52,30.0,2.0,567.6,109.84,109.84,8.0,101.84,7.99,101.85,Closer04
4.0,O627,ok,18.58,60.02,18.57,30.0,2.0,371.6,81.15,81.1,5.02,76.13,5.01,76.09,Closer04
4.0,O628,ok,12.92,47.58,16.29,30.0,2.0,258.4,82.26,82.3,9.33,72.93,9.33,72.97,Closer04
4.0,O630,ok,48.72,108.36,26.98,60.0,1.0,487.2,182.09,182.15,10.04,172.05,10.06,172.09,Closer04
4.0,O640,ok,35.1,118.95,17.7,30.0,2.0,702.0,168.47,168.51,11.64,156.83,11.68,156.83,Closer04
4.0,O667,ok,2.75,9.93,16.62,30.0,2.0,55.0,1.52,1.51,0.01,1.51,0.01,1.5,Closer04
4.0,OF605,ok,14.18,52.37,16.25,60.0,1.0,141.8,61.27,61.27,3.47,57.8,3.46,57.81,Closer04
4.0,OF618,ok,14.04,45.02,18.71,30.0,2.0,280.8,86.97,86.92,5.58,81.39,5.57,81.35,Closer04
4.0,OF620,ok,16.66,48.56,20.58,30.0,2.0,333.2,77.11,77.11,6.69,70.42,6.66,70.45,Closer04
4.0,OF638,ok,13.4,37.45,21.47,60.0,1.0,134.0,24.83,24.8,0.17,24.66,0.16,24.64,Closer04
4.0,S002,ok,8.42,39.19,12.89,15.0,4.0,336.8,1051.25,1051.24,53.18,998.07,53.18,998.06,Closer04
4.0,S004,ok,23.85,85.2,16.8,30.0,2.0,477.0,691.46,691.42,11.94,679.52,11.96,679.46,Closer04
4.0,S009,ok,19.62,73.38,16.04,15.0,4.0,784.8,836.11,836.16,6.08,830.03,6.09,830.07,Closer04
4.0,S017,ok,15.42,61.75,14.98,30.0,2.0,308.4,286.97,286.95,20.13,266.84,20.12,266.83,Closer04
4.0,S021,ok,15.7,57.33,16.43,15.0,4.0,628.0,1025.85,1025.81,73.3,952.55,73.26,952.55,Closer04
4.0,S033,ok,12.54,39.88,18.87,15.0,4.0,501.6,420.9,420.89,18.45,402.45,18.43,402.46,Closer04
4.0,S035,ok,28.18,93.59,18.07,15.0,4.0,1127.2,532.94,532.91,27.08,505.86,27.08,505.83,Closer04
4.0,S039,ok,22.92,79.53,17.29,15.0,4.0,916.8,679.57,679.53,20.05,659.52,20.05,659.48,Closer04
4.0,S045,ok,16.22,53.68,18.13,15.0,4.0,648.8,321.81,321.77,19.13,302.68,19.16,302.61,Closer04
4.0,S047,ok,25.68,85.13,18.1,30.0,2.0,513.6,182.76,182.69,1.94,180.82,1.93,180.76,Closer04
4.0,S054,ok,17.78,57.2,18.65,15.0,4.0,711.2,289.82,289.8,16.61,273.21,16.6,273.2,Closer04
4.0,S062,ok,20.26,64.19,18.94,60.0,1.0,202.6,55.27,55.22,1.63,53.64,1.65,53.57,Closer04
4.0,S072,ok,11.06,42.16,15.74,30.0,2.0,221.2,164.07,164.1,8.41,155.66,8.42,155.68,Closer04
4.0,S1,ok,21.44,89.1,14.44,15.0,4.0,857.6,1476.11,1476.07,3.99,1472.12,3.94,1472.13,Closer04
4.0,S200,ok,22.56,93.54,14.47,15.0,4.0,902.4,1747.14,1747.19,20.77,1726.37,20.8,1726.39,Closer04
4.0,S201,ok,19.42,70.92,16.43,60.0,1.0,194.2,55.95,56.01,5.29,50.66,5.29,50.72,Closer04
4.0,S205,ok,28.62,108.68,15.8,15.0,4.0,1144.8,2179.42,2179.25,17.12,2162.3,17.08,2162.17,Closer04
4.0,S209,ok,28.98,105.13,16.54,15.0,4.0,1159.2,2030.91,2030.76,38.98,1991.93,38.92,1991.84,Closer04
4.0,S213,ok,31.02,114.95,16.19,30.0,2.0,620.4,565.63,565.67,6.5,559.13,6.5,559.17,Closer04
4.0,S217,ok,24.42,81.41,18.0,15.0,4.0,976.8,511.64,511.61,22.72,488.92,22.74,488.87,Closer04
4.0,S218,ok,13.84,51.58,16.1,30.0,2.0,276.8,88.61,88.6,6.06,82.55,6.06,82.54,Closer04
4.0,S220,ok,33.42,118.02,16.99,30.0,2.0,668.4,861.74,861.61,61.9,799.84,61.86,799.75,Closer04
4.0,S223,ok,33.17,117.68,16.91,30.0,2.0,663.4,672.58,672.7,26.98,645.6,27.0,645.7,Closer04
4.0,S227,ok,33.9,119.34,17.04,30.0,2.0,678.0,212.52,212.47,9.01,203.51,8.97,203.5,Closer04
4.0,S236,ok,15.93,45.15,21.17,30.0,2.0,318.6,71.85,71.86,6.07,65.78,6.05,65.81,Closer04
4.0,S240,ok,24.3,85.81,16.99,15.0,4.0,972.0,242.63,242.64,8.99,233.64,9.0,233.64,Closer04
4.0,S248,ok,45.08,154.94,17.46,30.0,2.0,901.6,251.06,251.06,12.2,238.86,12.13,238.93,Closer04
4.0,S31,ok,26.5,98.53,16.14,30.0,2.0,530.0,249.53,249.57,7.71,241.82,7.69,241.88,Closer04
4.0,S455,ok,46.84,158.47,17.73,30.0,2.0,936.8,920.54,920.51,77.45,843.09,77.45,843.06,Closer04
4.0,S470,ok,39.74,134.55,17.72,30.0,2.0,794.8,767.16,767.19,35.12,732.04,35.17,732.02,Closer04
4.0,S509,ok,10.34,39.31,15.78,30.0,2.0,206.8,151.94,151.87,9.44,142.5,9.41,142.46,Closer04
4.0,SF11,ok,7.8,28.63,16.35,60.0,1.0,78.0,40.55,40.53,0.0,40.55,0.0,40.53,Closer04
4.0,SF202,ok,10.44,39.22,15.97,30.0,2.0,208.8,58.31,58.28,1.66,56.65,1.63,56.65,Closer04
4.0,SF232,ok,15.34,50.79,18.12,30.0,2.0,306.8,68.37,68.36,1.65,66.72,1.66,66.7,Closer04
4.0,SF453,ok,39.47,91.29,25.94,60.0,1.0,394.7,5.75,5.76,2.99,2.76,2.99,2.77,Closer04
