Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,O604,pk,     14.00,     44.05,     19.07,     30.00,      2.00,    168.00,     46.94,     46.94,     10.92,     36.02,     10.92,     36.02
      4.00,O607,pk,     20.92,     61.85,     20.29,     30.00,      2.00,    251.04,    251.07,    251.05,     29.07,    222.00,     29.04,    222.01
      4.00,O609,pk,     42.50,    118.69,     21.48,     30.00,      2.00,    510.00,    693.48,    693.51,    237.13,    456.35,    237.14,    456.37
      4.00,O612,pk,     26.20,     78.37,     20.06,     15.00,      4.00,    628.80,    473.50,    473.41,     19.51,    453.99,     19.47,    453.94
      4.00,O614,pk,     17.94,     52.50,     20.50,     30.00,      2.00,    215.28,     51.19,     51.22,      0.56,     50.63,      0.56,     50.66
      4.00,O615,pk,     15.08,     43.70,     20.70,     30.00,      2.00,    180.96,    261.34,    261.32,     23.17,    238.17,     23.16,    238.16
      4.00,O626,pk,     28.38,     76.72,     22.19,     30.00,      2.00,    340.56,    152.08,    152.08,     12.60,    139.48,     12.61,    139.47
      4.00,O627,pk,     18.58,     54.97,     20.28,     30.00,      2.00,    222.96,     91.81,     91.77,     10.06,     81.75,     10.04,     81.73
      4.00,O628,pk,     12.92,     44.00,     17.62,     30.00,      2.00,    155.04,     99.71,     99.71,     15.88,     83.83,     15.90,     83.81
      4.00,O630,pk,     48.72,     97.88,     29.87,     60.00,      1.00,    292.32,    232.99,    232.94,     23.06,    209.93,     23.01,    209.93
      4.00,O640,pk,     35.10,    110.69,     19.03,     30.00,      2.00,    421.20,    565.71,    565.65,    137.99,    427.72,    137.90,    427.75
      4.00,O667,pk,      2.75,      9.46,     17.44,     30.00,      2.00,     33.00,      0.78,      0.78,         0,      0.78,         0,      0.78
      4.00,OF605,pk,     14.18,     48.56,     17.52,     60.00,      1.00,     85.08,    141.36,    141.35,      8.21,    133.15,      8.21,    133.14
      4.00,OF618,pk,     14.04,     42.00,     20.06,     30.00,      2.00,    168.48,     90.91,     90.91,     10.08,     80.83,     10.09,     80.82
      4.00,OF620,pk,     16.66,     44.97,     22.23,     30.00,      2.00,    199.92,     95.49,     95.44,      8.77,     86.72,      8.76,     86.68
      4.00,OF638,pk,     13.40,     34.23,     23.49,     60.00,      1.00,     80.40,     13.82,     13.82,      0.10,     13.72,      0.10,     13.72
      4.00,S002,pk,      8.42,     39.15,     12.90,     15.00,      4.00,    202.08,   1008.07,   1008.06,    121.73,    886.34,    121.72,    886.34
      4.00,S004,pk,     23.85,     79.47,     18.01,     30.00,      2.00,    286.20,    790.67,    790.63,     35.15,    755.52,     35.14,    755.49
      4.00,S009,pk,     19.62,     72.49,     16.24,     15.00,      4.00,    470.88,   1173.17,   1173.15,     31.34,   1141.83,     31.35,   1141.80
      4.00,S017,pk,     15.42,     61.53,     15.04,     30.00,      2.00,    185.04,    534.06,    534.05,     70.03,    464.03,     70.02,    464.03
