HomeCityIdx,WorkCityIdx,Job_Auto,Job_TranWalk,Job_TranDrive,Job_Bike,Job_Walk,HH_Auto,HH_TranWalk,HH_TranDrive,HH_Bike,HH_Walk,JobTimeWt_Auto,JobTimeWt_TranWalk,JobTimeWt_TranDrive,JobTimeWt_Bike,JobTimeWt_Walk,HHTimeWt_Auto,HHTimeWt_TranWalk,HHTimeWt_TranDrive,HHTimeWt_Bike,HHTimeWt_Walk,JobAutoFF,JobAutoSL,HHAutoFF,HHAutoSL,Retail_Auto,Retail_TranWalk,Retail_TranDrive,Retail_Bike,Retail_Walk,Industrial_Auto,Industrial_TranWalk,Industrial_TranDrive,Industrial_Bike,Industrial_Walk,Other_Auto,Other_TranWalk,Other_TranDrive,Other_Bike,Other_Walk,RetailTimeWt_Auto,RetailTimeWt_TranWalk,RetailTimeWt_TranDrive,RetailTimeWt_Bike,RetailTimeWt_Walk,IndustrialTimeWt_Auto,IndustrialTimeWt_TranWalk,IndustrialTimeWt_TranDrive,IndustrialTimeWt_Bike,IndustrialTimeWt_Walk,OtherTimeWt_Auto,OtherTimeWt_TranWalk,OtherTimeWt_TranDrive,OtherTimeWt_Bike,OtherTimeWt_Walk,RetailAutoFF,RetailAutoSL,IndustrialAutoFF,IndustrialAutoSL,OtherAutoFF,OtherAutoSL
      1.00,     36.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,     37.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  17981.00,         0,3630135.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   6844.00,         0,    464.00,         0,  10673.00
      1.00,     38.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 283102.00,         0,1113043.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  69354.00,         0,  36022.00,         0, 177726.00
      1.00,     39.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    530.00,2117777.00, 855016.00,73627997.0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    234.00, 390848.00,      9.00, 115228.00,    287.00,1611701.00
      1.00,     40.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 572913.00,         0,56095195.0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 108034.00,         0, 148510.00,         0, 316369.00
      1.00,     41.00, 965102.00,         0,         0,         0,         0,12296623.0,         0,         0,         0,         0,18675780.0,         0,         0,         0,         0, 249333671,         0,         0,         0,         0,1011456.00,1200905.00,12992204.0,16055913.0, 259931.00,         0,         0,         0,         0, 133273.00,         0,         0,         0,         0, 571899.00,         0,         0,         0,         0,5018561.00,         0,         0,         0,         0,2585018.00,         0,         0,         0,         0,11072201.0,         0,         0,         0,         0, 272470.00, 324637.00, 139728.00, 165870.00, 599259.00, 710398.00
      1.00,     42.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    537.00,2179687.00, 162736.00,24244855.0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    120.00, 352760.00,     85.00, 187544.00,    332.00,1639382.00
      1.00,     43.00, 534280.00,         0,         0,         0,         0,71022372.0,         0,         0,         0,         0,14853228.0,         0,         0,         0,         0,2047083681,         0,         0,         0,         0, 586683.00, 946651.00,80155240.0, 141905381, 190126.00,         0,         0,         0,         0,  19950.00,         0,         0,         0,         0, 324204.00,         0,         0,         0,         0,5213264.00,         0,         0,         0,         0, 555295.00,         0,         0,         0,         0,9084668.00,         0,         0,         0,         0, 208134.00, 329123.00,  21908.00,  35730.00, 356641.00, 581798.00
      1.00,     44.00,1123823.00,         0,         0,         0,         0,46788783.0,         0,         0,         0,         0,39164297.0,         0,         0,         0,         0,1555619807,         0,         0,         0,         0,2192469.00,3721254.00,76462034.0, 103483758, 154194.00,         0,         0,         0,         0, 465170.00,         0,         0,         0,         0, 504459.00,         0,         0,         0,         0,5302370.00,         0,         0,         0,         0,16306952.0,         0,         0,         0,         0,17554975.0,         0,         0,         0,         0, 286825.00, 474423.00, 923214.00,1575719.00, 982430.00,1671111.00
      1.00,     45.00,21567427.0,         0, 189653.00,   8383.00,         0, 494771690,         0,7653911.00,4352199.00,         0, 458022434,         0,9865327.00, 229375.00,         0,1.1316e+10,         0, 411476023, 115033669,         0,23396585.0,30187799.0, 546672936, 774832312,2952816.00,         0,  32989.00,   1305.00,         0,5270172.00,         0,  38005.00,    371.00,         0,13344439.0,         0, 118659.00,   6707.00,         0,62087476.0,         0,1764351.00,  35104.00,         0, 104346194,         0,2079282.00,  10219.00,         0, 291588764,         0,6021693.00, 184052.00,         0,3183787.00,4064363.00,5601830.00,6943113.00,14610968.0,19180323.0
