"TAZID","CityIdx","CITY_UGRC"
2979,51,"PVO"
2980,51,"PVO"
2981,51,"PVO"
2982,51,"PVO"
2983,51,"PVO"
2984,51,"PVO"
2985,51,"PVO"
2986,51,"PVO"
2987,51,"PVO"
2988,51,"PVO"
2989,51,"PVO"
2990,51,"PVO"
2991,51,"PVO"
2992,51,"PVO"
2993,51,"PVO"
2994,51,"PVO"
2995,51,"PVO"
2996,51,"PVO"
2997,51,"PVO"
2998,51,"PVO"
2999,51,"PVO"
3000,51,"PVO"
3001,51,"PVO"
3002,51,"PVO"
3003,51,"PVO"
3004,51,"PVO"
3005,51,"PVO"
3006,51,"PVO"
3007,51,"PVO"
3008,51,"PVO"
3009,51,"PVO"
3010,51,"PVO"
3011,51,"PVO"
3012,51,"PVO"
3013,51,"PVO"
3014,51,"PVO"
3015,51,"PVO"
3016,51,"PVO"
3017,51,"PVO"
3018,51,"PVO"
3019,51,"PVO"
3020,51,"PVO"
3021,51,"PVO"
3022,51,"PVO"
3023,51,"PVO"
3024,51,"PVO"
3025,51,"PVO"
3026,51,"PVO"
3027,51,"PVO"
3028,51,"PVO"
3029,51,"PVO"
3030,51,"PVO"
3031,51,"PVO"
3032,51,"PVO"
3033,51,"PVO"
3034,51,"PVO"
3035,51,"PVO"
3036,51,"PVO"
3037,51,"PVO"
3038,51,"PVO"
3039,64,"SPV"
3040,64,"SPV"
3041,51,"PVO"
3042,64,"SPV"
3043,64,"SPV"
3044,64,"SPV"
3045,64,"SPV"
3046,64,"SPV"
3047,64,"SPV"
3048,64,"SPV"
3049,64,"SPV"
3050,64,"SPV"
3051,64,"SPV"
3052,64,"SPV"
3053,64,"SPV"
3054,64,"SPV"
3055,64,"SPV"
3056,64,"SPV"
3057,64,"SPV"
3058,64,"SPV"
3059,64,"SPV"
3060,64,"SPV"
3061,64,"SPV"
3062,64,"SPV"
3063,64,"SPV"
3064,64,"SPV"
3065,64,"SPV"
3066,64,"SPV"
3067,64,"SPV"
3068,64,"SPV"
3069,64,"SPV"
3070,64,"SPV"
3071,64,"SPV"
