SEGID,DIRECTION,DIRECTION_NAME,DY_VOL_GR1,DY_VOL_GR2,DY_VOL_GR3,DY_VOL_GR4,DY_VOL_TOTAL
0015_304.7,Both,Total,     306.8,      71.4,     108.0,      92.9,     579.1
0015_305.2,D1,NB,     410.3,         0,      40.0,      10.2,     460.4
0015_305.2,D2,SB,     394.2,     115.4,     169.8,     149.8,     829.2
0015_305.2,Both,Total,     403.8,      46.5,      92.3,      66.4,     609.1
0015_305.9,D1,NB,     386.3,         0,      40.3,      10.8,     437.5
0015_305.9,D2,SB,     305.6,      91.7,     128.2,     119.3,     644.8
0015_305.9,Both,Total,     327.0,      67.4,     104.9,      90.5,     589.8
0015_306.3,D1,NB,     440.9,         0,      41.5,      10.0,     492.3
0015_306.3,D2,SB,     463.4,     143.4,     189.1,     186.6,     982.6
0015_306.3,Both,Total,     450.5,      61.1,     104.4,      85.3,     701.3
0015_307.2,D1,NB,     416.5,         0,      38.2,       9.9,     464.7
0015_307.2,D2,SB,     385.4,     112.1,     147.9,     148.1,     793.5
0015_307.2,Both,Total,     398.1,      66.5,     103.3,      91.9,     659.8
0015_307.5,D1,NB,      26.4,         0,       3.6,         0,      30.0
0015_307.5,D2,SB,      12.3,      18.9,      25.4,      20.1,      76.7
0015_307.5,Both,Total,      19.5,       9.3,      14.4,       9.9,      53.0
0015_307.6,D1,NB,      29.0,         0,       4.9,         0,      33.8
0015_307.6,D2,SB,       7.7,      13.3,      22.6,      17.4,      61.1
0015_307.6,Both,Total,      18.4,       6.6,      13.7,       8.7,      47.4
0015_307.8,D1,NB,      25.4,         0,       3.6,         0,      29.0
0015_307.8,D2,SB,       7.3,      12.6,      21.4,      16.4,      57.7
0015_307.8,Both,Total,      17.8,       5.2,      11.0,       6.8,      40.9
0015_308.4,D1,NB,      35.4,         0,       5.1,         0,      40.6
0015_308.4,D2,SB,       9.4,      16.5,      27.8,      21.5,      75.2
0015_308.4,Both,Total,      22.4,       8.2,      16.5,      10.8,      57.9
0015_309.3,D1,NB,      16.4,         0,       2.9,         0,      19.4
0015_309.3,D2,SB,       2.5,      10.5,      20.0,      19.0,      52.0
0015_309.3,Both,Total,      11.8,       3.5,       8.6,       6.3,      30.2
0015_310.2,D1,NB,      22.5,         0,       4.0,         0,      26.5
0015_310.2,D2,SB,       2.5,      10.1,      19.6,      18.0,      50.3
0015_310.2,Both,Total,      11.9,       5.3,      12.2,       9.5,      39.0
0015_311.4,D1,NB,      22.5,         0,       4.0,         0,      26.5
0015_311.4,D2,SB,       2.5,      10.0,      18.5,      18.0,      49.0
0015_311.4,Both,Total,      12.5,       5.0,      11.3,       9.0,      37.8
0015_311.8,D1,NB,      16.0,         0,       3.0,         0,      19.0
0015_311.8,D2,SB,       2.5,      10.5,      17.5,      17.5,      48.0
0015_311.8,Both,Total,      10.0,       4.7,       9.4,       7.8,      31.9
0015_313.7,D1,NB,      15.9,         0,       3.0,       3.0,      21.8
0015_313.7,D2,SB,       1.5,       8.0,      16.4,      15.9,      41.7
0015_313.7,Both,Total,       9.0,       3.8,       9.3,       9.1,      31.3
0015_315.3,D1,NB,      13.5,         0,       2.5,       1.0,      17.0
0015_315.3,D2,SB,       1.0,       7.0,      14.4,      14.4,      36.8
0015_315.3,Both,Total,       7.2,       3.5,       8.5,       7.8,      27.0
0015_316.9,D1,NB,      11.5,         0,       1.5,       0.5,      13.5
0015_316.9,D2,SB,       0.5,       6.1,      10.9,      12.1,      29.5
0015_316.9,Both,Total,       6.2,       2.9,       6.0,       6.0,      21.2
0015_317.6,D1,NB,      10.5,         0,       1.5,       0.5,      12.5
0015_317.6,D2,SB,       0.5,       5.5,      10.0,      11.5,      27.5
0015_317.6,Both,Total,       5.2,       2.9,       6.0,       6.3,      20.4
0015_318.3,D1,NB,      10.4,         0,       1.5,       0.5,      12.4
0015_318.3,D2,SB,       0.5,       5.5,      10.0,      11.3,      27.2
0015_318.3,Both,Total,       5.4,       2.8,       5.8,       5.9,      19.8
0015_319.5,D1,NB,      10.0,         0,       1.5,       0.5,      12.0
0015_319.5,D2,SB,       0.5,       4.0,       9.0,       9.0,      22.5
0015_319.5,Both,Total,       5.2,       2.0,       5.3,       4.8,      17.2
0015_321.0,D1,NB,       9.6,         0,       1.5,       0.5,      11.6
0015_321.0,D2,SB,       0.5,       4.0,       9.0,       8.5,      22.0
0015_321.0,Both,Total,       5.0,       2.0,       5.3,       4.5,      16.8
0015_322.0,D1,NB,       8.0,         0,       1.5,         0,       9.5
0015_322.0,D2,SB,       0.5,       4.0,       8.5,       7.5,      20.5
0015_322.0,Both,Total,       4.3,       2.0,       4.9,       3.7,      14.9
0015_323.8,D1,NB,       7.0,         0,       1.5,         0,       8.5
0015_323.8,D2,SB,       0.5,       4.0,       8.0,       7.0,      19.5
0015_323.8,Both,Total,       3.8,       2.0,       4.7,       3.5,      13.9
0015_324.4,D1,EB,       0.5,       4.0,       7.5,       8.0,      20.0
0015_324.4,D2,WB,       7.1,         0,       1.0,       4.3,      12.5
0015_324.4,Both,Total,       3.9,       2.0,       4.2,       6.1,      16.2
0015_325.6,D1,NB,       6.6,         0,       1.0,       4.5,      12.1
0015_325.6,D2,SB,       0.5,       3.6,       8.4,       8.0,      20.4
0015_325.6,Both,Total,       3.5,       1.8,       4.7,       6.3,      16.3
0015_328.7,D1,NB,       6.6,         0,       1.0,       3.5,      11.1
0015_328.7,D2,SB,       0.5,       3.5,       7.0,       7.9,      18.9
0015_328.7,Both,Total,       3.6,       1.7,       4.0,       5.7,      15.0
0015_330.1,D1,NB,       5.0,         0,       0.5,       3.0,       8.5
0015_330.1,D2,SB,       0.5,       3.5,       6.0,       6.5,      16.4
0015_330.1,Both,Total,       2.8,       1.7,       3.2,       4.7,      12.5
0015_331.6,D1,NB,       3.5,       0.1,         0,       3.1,       6.7
0015_331.6,D2,SB,         0,       2.4,       4.5,       3.9,      10.8
0015_331.6,Both,Total,       1.7,       1.3,       2.3,       3.5,       8.8
0015_332.9,D1,NB,       3.5,         0,         0,       3.0,       6.5
0015_332.9,D2,SB,         0,       1.5,       4.5,       3.5,       9.5
0015_332.9,Both,Total,       1.8,       0.7,       2.2,       3.2,       8.0
0015_334.1,D1,NB,       3.0,         0,       0.1,       3.1,       6.1
0015_334.1,D2,WB,         0,       1.0,       4.4,       2.4,       7.8
0015_334.1,Both,Total,       1.5,       0.5,       2.2,       2.8,       7.0
0015_335.8,D1,NB,       2.0,         0,         0,       2.5,       4.5
0015_335.8,D2,SB,         0,       1.0,       4.0,       2.0,       7.0
0015_335.8,Both,Total,       1.0,       0.5,       2.0,       2.2,       5.8
0015_337.0,D1,NB,       2.0,         0,         0,       2.5,       4.5
0015_337.0,D2,SB,         0,       1.0,       3.0,       2.0,       6.0
0015_337.0,Both,Total,       1.0,       0.5,       1.5,       2.2,       5.2
0015_338.5,D1,NB,       1.7,         0,         0,       2.3,       3.9
0015_338.5,D2,SB,         0,       1.0,       1.5,       1.5,       4.0
0015_338.5,Both,Total,       1.0,       0.4,       0.6,       2.0,       4.0
0015_339.1,D1,NB,       1.5,         0,         0,       0.5,       2.0
0015_339.1,D2,SB,         0,       1.0,         0,       1.5,       2.5
0015_339.1,Both,Total,       0.8,       0.5,         0,       1.0,       2.2
0015_340.3,D1,NB,       2.7,         0,         0,       1.0,       3.7
0015_340.3,D2,SB,         0,       1.9,         0,       3.0,       4.9
0015_340.3,Both,Total,       1.4,       1.0,         0,       2.0,       4.3
0015_342.0,D1,NB,       2.0,         0,         0,       1.0,       3.0
0015_342.0,D2,SB,         0,       1.0,         0,       3.0,       4.0
0015_342.0,Both,Total,       1.0,       0.5,         0,       2.0,       3.5
0015_343.1,D1,NB,       2.0,         0,         0,       1.0,       3.0
