Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,SF232,ok,     15.34,     50.79,     18.12,     30.00,      2.00,    306.80,     66.20,     66.24,      1.60,     64.60,      1.61,     64.63
      4.00,SF453,ok,     39.47,     91.29,     25.94,     60.00,      1.00,    394.70,      5.82,      5.84,      3.05,      2.77,      3.04,      2.80
      4.00,SF514,ok,     12.18,     48.13,     15.18,     30.00,      2.00,    243.60,     91.53,     91.54,     14.43,     77.10,     14.41,     77.13
      4.00,SF525,ok,      8.90,     32.80,     16.28,     30.00,      2.00,    178.00,     56.23,     56.26,      8.07,     48.16,      8.09,     48.17
      4.00,SF570,ok,     14.72,     46.97,     18.80,     30.00,      2.00,    294.40,     79.93,     79.94,      0.52,     79.41,      0.49,     79.45
      4.00,SF578,ok,     13.44,     43.76,     18.43,     30.00,      2.00,    268.80,     32.93,     32.96,      0.26,     32.67,      0.27,     32.69
      4.00,SF590,ok,     11.44,     42.49,     16.15,     30.00,      2.00,    228.80,     63.73,     63.72,      4.18,     59.55,      4.21,     59.51
      4.00,SF94,ok,      7.22,     24.12,     17.96,     30.00,      2.00,    144.40,     50.94,     51.00,      3.21,     47.73,      3.22,     47.78
      5.00,BRT56_R,pk,     52.52,    155.10,     20.32,     15.00,      4.00,   1260.48,   2644.37,   2644.36,    662.10,   1982.27,    662.12,   1982.24
      5.00,MidValCon,pk,     13.36,     38.41,     20.87,     15.00,      4.00,    320.64,    953.76,    953.76,    187.10,    766.66,    187.08,    766.68
      5.00,BRT56_R,ok,     52.52,    163.52,     19.27,     15.00,      4.00,   2100.80,   2786.66,   2786.77,    438.53,   2348.13,    438.55,   2348.22
      5.00,MidValCon,ok,     13.36,     40.65,     19.72,     15.00,      4.00,    534.40,    521.57,    521.60,     23.43,    498.14,     23.44,    498.16
      6.00,S451X,pk,     21.64,     38.20,     33.99,     30.00,      2.00,    259.68,      0.78,      0.79,         0,      0.78,         0,      0.79
      6.00,S472X,pk,     34.39,     66.87,     30.86,     30.00,      2.00,    412.68,     52.76,     52.77,         0,     52.76,         0,     52.77
      6.00,S473X,pk,     42.74,    109.25,     23.47,     30.00,      2.00,    512.88,    472.78,    472.80,    275.47,    197.31,    275.49,    197.31
      7.00,Blue,pk,     38.08,    103.36,     22.11,     15.00,      4.00,    913.92,   4841.06,   4840.97,    920.21,   3920.85,    920.18,   3920.79
      7.00,Green,pk,     28.64,     93.54,     18.37,     15.00,      4.00,    687.36,   4561.52,   4561.54,    373.53,   4187.99,    373.53,   4188.01
      7.00,Red,pk,     47.22,    120.72,     23.47,     15.00,      4.00,   1133.28,  12486.93,  12486.89,   3116.43,   9370.50,   3116.42,   9370.47
      7.00,Sline,pk,      4.02,     20.58,     11.72,     15.00,      4.00,     96.48,    304.46,    304.46,      7.18,    297.28,      7.17,    297.29
      7.00,Blue,ok,     38.08,    103.36,     22.11,     15.00,      4.00,   1523.20,   5902.15,   5902.13,    825.26,   5076.89,    825.25,   5076.88
      7.00,Green,ok,     28.64,     93.54,     18.37,     15.00,      4.00,   1145.60,   6749.32,   6749.36,    466.46,   6282.86,    466.45,   6282.91
      7.00,Red,ok,     47.22,    120.72,     23.47,     15.00,      4.00,   1888.80,   8887.53,   8887.61,   1059.32,   7828.21,   1059.35,   7828.26
      7.00,Sline,ok,      4.02,     20.58,     11.72,     15.00,      4.00,    160.80,    451.57,    451.58,      6.45,    445.12,      6.45,    445.13
      8.00,RCRT_OGPN,pk,    162.16,    245.34,     39.66,     30.00,      2.00,   1945.92,   8757.81,   8757.82,   5313.77,   3444.04,   5313.77,   3444.05
      8.00,RCRT_OGPN,ok,    162.16,    245.34,     39.66,     60.00,      1.00,   1621.60,   4474.44,   4474.46,   2095.96,   2378.48,   2095.99,   2378.47
      9.00,630X,pk,      9.86,     40.51,     14.60,     10.00,      6.00,    354.96,   1351.71,   1351.70,    519.96,    831.75,    519.98,    831.72
      9.00,M830X_ARPT,pk,     11.28,     27.28,     24.81,     30.00,      2.00,    135.36,     15.59,     15.57,      2.25,     13.34,      2.24,     13.33
      9.00,UVX,pk,     22.92,     79.21,     17.36,      6.00,     10.00,   1375.20,   7205.68,   7205.68,   1101.89,   6103.79,   1101.87,   6103.81
      9.00,630X,ok,      9.86,     43.11,     13.72,     10.00,      6.00,    591.60,    669.30,    669.34,     29.34,    639.96,     29.35,    639.99
      9.00,M830X_ARPT,ok,     11.28,     29.37,     23.04,     30.00,      2.00,    225.60,     31.19,     31.20,      1.58,     29.61,      1.59,     29.61
      9.00,UVX,ok,     22.92,     83.73,     16.42,     10.00,      6.00,   1375.20,   3380.59,   3380.53,     91.60,   3288.99,     91.58,   3288.95
